M1,M2,M3
 Mo-Mi: Aloo Matar Paneer Erdäpfel mit Erbsen und Frischkäse (G) Do-Fr: Navratan Korma Gemüse Curry mit Frischkäse (G), , 
"Chicken Korma Hühnerfleisch in mil der CashewnussCurry Sauce (G, H)","Beef Madras 
 Rindfleisch mit Paprika auf Madras Art","Aloo Gobi 
 
 Pikantes ErdäpfelCurry mit Karfiol"
Chicken Makhani Hühnerfleisch in cremiger ParadeisCurrysauce (G),Chicken Tikka Masala Hühnerfleisch in pikanter Gewürz Sauce,Tarka Dal Pikanter Dal aus gelben Linsen
"Hühnerfleisch mit  
Chicken Dal Linsen in pikanter Gewürzsauce",Beef Zucchini Rindfleisch mit Zucchini in würziger Curry Sauce,"Aloo Methi Masala 
 Pikantes Erdäpfel Curry mit Bockshornklee"
Butter Chicken Hühnerfleisch in cremiger Currysauce (G),"Pikantes Hüh
Chicken Jhal Frezi ner Curry mit Paprika und Paradeisern","Geröstetes Gemüse 
Mixed Sabji in pikanter Currysauce"
"Hühnerfleisch 
Chicken Vindaloo mit Erdäpfel in pikanter Gewürzsauce","Beef Korma Rindfleisch in milder CashewnussCurry Sauce (G,H)",Aloo Palak Erdäpfel mit indischem Spinat
